Event,Year,Rider,Position,Cap/Bib,Class,Days,Hours,Minutes,Result,Bike,Data Source,Category,Finish Location,Notes,Slug
Arizona Trail Race (300),2018,Neil Beltchenko,1,,Solo,1,23,13,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Kaitlyn Boyle,2,,Solo,2,2,57,Finished,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Kurt Refsnider,3,,Solo,2,4,55,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Dion Clark,4,,Solo,2,15,13,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Dana Ernst,5,,Solo,2,15,13,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Dustin Eroh,6,,Solo,2,18,7,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Darren Smith,7,,Solo,2,18,48,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Paul Spencer,8,,Solo,2,20,32,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Max Morris,9,,Solo,3,0,15,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Jason Reamy,10,,Solo,2,23,47,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Ben Hanus,11,,Solo,3,0,27,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Rebecca Rusch,12,,Solo,3,0,46,Finished,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Paul Wissenbach,13,,Solo,3,0,59,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Curtis Barrett,14,,Solo,3,2,26,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Adam Marcinkiewicz,15,,Solo,3,6,38,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Brad Ells,16,,Solo,3,8,38,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Brian Lovett,17,,Solo,3,9,56,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Nick Armano,18,,Solo,3,12,24,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Robert Weinhold,19,,Solo,3,12,24,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Anthony Berberich,20,,Solo,3,12,50,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Dan Holmes,21,,Solo,3,16,38,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Steve Denny,22,,Solo,3,17,14,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Louie Konkol,23,,Solo,3,17,16,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Jeremy Hardwick,24,,Solo,3,17,25,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Beth Shaner,25,,Solo,3,20,32,Finished,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Greg Martin,26,,Solo,3,19,32,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Randy Young,27,,Solo,3,22,17,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Paul Kruger,28,,Solo,3,23,25,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Dave Hoswell,29,,Solo,3,23,33,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Alice Drobna,30,,Solo,4,0,9,Finished,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Dean Anderson,31,,Solo,4,4,8,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Justin Dubois,32,,Solo,4,4,44,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Rob Adams,33,,Solo,4,6,51,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Drew Huemmler,34,,Solo,4,7,33,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Keith Tomei,35,,Solo,4,8,34,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Scott Fisk,36,,Solo,4,12,17,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Ken Waring,37,,Solo,4,12,21,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Mark Caminiti,38,,Solo,4,15,6,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Daniel Dunn,39,,Solo,4,19,45,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Dave Wicks,40,,Solo,5,5,13,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Ron Thomson,41,,Solo,5,13,55,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Chris Kuzdas,42,,ITT,5,3,1,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Clayton Peterson,43,,ITT,8,0,34,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Justin Manring,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Aaron Kennedy,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Jason Hanson,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Colton Smith,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Todd Otoole,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Steven Terry,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Jennifer Hanson,,,Solo,,,,Scratched,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Jerry Quesnel,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,William Simms,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Andrew Stauffer,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Beto Villegas,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Bret Vaterlaus,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Nathaniel Woiwode,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Bill Akens,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Thomas Seymour,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Aaron Summers,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Robert Esquerra,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Travis Waters,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2018,Lee Hanyo,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Pete Basinger,1,,Solo,2,13,30,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Max Morris,2,,Solo,2,13,57,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Adam Marcinkiewicz,3,,Solo,2,18,37,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,David Collins,4,,Solo,2,20,35,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Adam Haughey,5,,Solo,2,21,43,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Paul LaCava,6,,Solo,3,5,45,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Jeff Hemperley,7,,Solo,3,10,1,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Justin Smith,8,,Solo,3,10,35,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Alexis Ault,9,,Solo,3,11,40,Finished,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Mike DeBernardo,10,,Solo,3,11,58,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Dan Holmes,11,,Solo,3,12,11,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Jason Shearer,12,,Solo,3,12,50,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Curtis Barrett,13,,Solo,3,13,0,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Joe Paluch,14,,Solo,3,16,44,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Gregory Hardy,15,,Solo,3,20,29,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Jeff Ziemski,16,,Solo,4,4,6,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Marcus Ontiveros,17,,Solo,4,4,24,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Mike Symons,18,,Solo,4,4,24,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Mike Sowers,19,,Solo,4,4,33,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Brett Stepanik,20,,Solo,4,5,5,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Garrett Alexander,21,,Solo,4,5,6,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Jenny Graham,22,,Solo,4,5,48,Finished,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Fiona Massey,23,,Solo,4,6,26,Finished,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Paul Horabin,24,,Solo,4,6,50,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Jakob Carlsen,25,,Solo,4,8,23,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Norb DeKerchove,26,,Solo,4,17,12,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Michael Devitt,27,,Solo,4,18,37,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Don Schwieters,28,,Solo,5,7,25,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Brian DeBlanc,29,,Solo,5,7,34,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Ron Thomson,30,,Solo,5,7,34,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Zach Allen,31,,Solo,5,9,31,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Marco Capote,32,,Solo,5,9,32,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Casey Johnson,33,,Solo,5,10,43,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Steve McHone,34,,Solo,5,12,9,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Zane Nelson,35,,Solo,6,13,38,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Patrick Hughes,36,,Solo,6,14,50,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Bradley Seago,37,,Solo,6,21,14,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Derrick Perrin,38,,Solo,8,10,55,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Mark Caminiti,,,ITT,3,11,0,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Sol Manion,,,ITT,3,16,21,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Martin Schroedter,,,ITT,4,0,8,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Evan Sollberger,,,ITT,4,11,53,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Erin Carroll,,,ITT,4,10,51,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,John Schilling,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Adam Looney,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Eric Nelson,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Jason Hanson,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Michael Mortensen,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Todd Denham,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Keith Tomei,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Chris Seistrup,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Mike Haas,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Chris Kuzdas,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Neil Stitzer,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Hart Robinson,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Daniel McMahon,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Olaf Gabrielson,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Stevland Judgekins,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Cory Foster,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Robert Weinhold,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Jacob Johnson,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Garrett Hunt,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Eric Croscutt,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Nancy Gray,,,Solo,,,,Scratched,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Paul Kuzdas,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Jeff Leenhouts,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Mike Kunnecke,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Patrick Duffy,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Bong Zilla,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Jennifer Hanson,,,Solo,,,,Scratched,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Jerry Quesnel,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Warren Carroll,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Kevin Sommer,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Steve Denny,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Todd Slaten,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Alan Bossert,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Colton Smith,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,William Sims,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Hunter Knox,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2017,Ian Wilkey,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Neil Beltchenko,1,,Solo,2,5,35,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Neil Stitzer,2,,Solo,2,6,23,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Hunter Keating,3,,Solo,2,6,57,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Calvin Decker,4,,Solo,2,9,11,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Alex Harris,5,,Solo,2,9,15,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Pete Basinger,6,,Solo,2,11,17,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Joe Grant,7,,Solo,2,12,27,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Adam Marcinkiewicz,8,,Solo,2,17,40,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Sam Aspacher,9,,Solo,3,1,31,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Nick Woodland,10,,Solo,3,2,13,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Maurizio Doro,11,,Solo,3,3,7,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Adam Haughey,12,,Solo,3,4,54,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Tracey Petervary,13,,Solo,3,5,38,Finished,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Stan Potter,14,,Solo,3,5,40,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Mike Prochaska,15,,Solo,3,7,13,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Barry Ritchey,16,,Solo,3,7,14,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Mike Barklow,17,,Solo,3,7,36,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Jason Wolf,18,,Solo,3,9,9,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Paul Kruger,19,,Solo,3,10,8,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Matthew Mueller,20,,Solo,3,11,53,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Jason Hanson,21,,Solo,3,13,21,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Sarah Jansen,22,,Solo,3,16,26,Finished,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Mike Haas,23,,Solo,3,16,33,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Dave Wicks,24,,Solo,3,17,51,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Beth Shaner,25,,Solo,3,17,53,Finished,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Paul Spencer,26,,Solo,3,18,32,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,John Schilling,27,,Solo,3,22,30,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Todd Denham,28,,Solo,3,22,33,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Brad Mattingly,29,,Solo,4,2,35,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Rod Taprider Dagneau,30,,Solo,4,3,32,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,David Goldberg,31,,Solo,4,3,53,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Erik Aune,32,,Solo,4,3,56,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Clint Conner,33,,Solo,4,4,7,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Brett Stepanik,34,,Solo,4,4,8,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Cedric Vivanco,35,,Solo,4,4,34,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Riley Barclay,36,,Solo,4,6,47,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Eijai Oxford,37,,Solo,4,7,10,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Jeff Brooks,38,,Solo,4,7,13,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Katharina Merchant,39,,Solo,4,9,24,Finished,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Shannon Marshall,40,,Solo,4,9,25,Finished,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Brian DeBlanc,41,,Solo,4,9,48,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,George Harris,42,,Solo,4,13,58,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Dave Kirk,43,,Solo,4,22,2,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Ron Thomson,44,,Solo,5,10,12,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Casey Johnson,45,,Solo,5,11,7,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Mike Kunnecke,46,,Solo,5,12,34,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,JC Cullen,47,,Solo,5,16,44,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Sara Dallman,48,,Solo,5,17,52,Finished,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Ian MacNab,49,,Solo,6,4,40,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Don Stump,50,,Solo,6,19,7,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Jack Mahler,51,,Solo,9,13,17,Finished,Unicycle,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Randy Sooter,,,ITT,3,12,29,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Jason Murrell,,,ITT,3,12,40,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Elliot DuMont,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Jeff Poitras,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Jerry Quesnel,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Kurt Refsnider,,,ITT,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Leo Aceves,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Mark Seaburg,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Tom Wolf,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Derrick Perrin,,,Solo,,,,Scratched,Traditional/Geared,Website,Men,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Alexis Ault,,,Solo,,,,Scratched,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2016,Amanda Demler,,,Solo,,,,Scratched,Traditional/Geared,Website,Women,,,arizona-trail-race-300
Arizona Trail Race (300),2015,Kurt Refsnider,1,,Solo,2,1,2,Finished,Traditional/Geared,Website,Men,,,arizona-trail-race-300
